Epoch,Open,High,Low,Close,Volume,Number
2023-12-16 12:20:00+00:00,2251.33,2251.4,2248.01,2248.32,1450504.170982,1710
2023-12-16 12:25:00+00:00,2248.32,2250.09,2248.32,2249.69,1066520.32942,1198
2023-12-16 12:30:00+00:00,2249.69,2252.05,2249.43,2251.76,1105173.793485,1228
2023-12-16 12:35:00+00:00,2251.76,2254.14,2251.61,2254.14,1346249.716064,1546
2023-12-16 12:40:00+00:00,2254.14,2256.74,2253.92,2255.52,2551547.584206,1963
2023-12-16 12:45:00+00:00,2255.52,2256.14,2254.1,2254.61,1521285.9786,2447
2023-12-16 12:50:00+00:00,2254.61,2256.47,2254.1,2256.47,741521.491274,1515
2023-12-16 12:55:00+00:00,2256.47,2257.37,2256.07,2256.29,1203313.249658,1518
2023-12-16 13:00:00+00:00,2256.29,2259.21,2256.25,2259.21,2091152.845467,1762
2023-12-16 13:05:00+00:00,2259.21,2259.3,2256.57,2257.32,2094184.761956,1869
2023-12-16 13:10:00+00:00,2257.32,2257.56,2254.67,2255.12,1851698.763009,1453
2023-12-16 13:15:00+00:00,2255.12,2255.37,2250.0,2250.45,1966115.7577799999,1945
2023-12-16 13:20:00+00:00,2250.45,2251.21,2245.54,2247.73,2074166.928634,2144
2023-12-16 13:25:00+00:00,2247.73,2248.56,2244.63,2246.67,1661181.557598,1875
2023-12-16 13:30:00+00:00,2246.67,2247.88,2240.0,2240.84,3354413.05598,2646
2023-12-16 13:35:00+00:00,2240.84,2242.81,2240.4,2241.9,3304079.174093,2776
2023-12-16 13:40:00+00:00,2241.9,2245.44,2241.11,2243.85,1457359.079124,1879
2023-12-16 13:45:00+00:00,2243.85,2246.85,2243.84,2246.42,1004247.1167540001,1467
2023-12-16 13:50:00+00:00,2246.42,2246.43,2244.26,2245.69,1496374.8472530001,1422
2023-12-16 13:55:00+00:00,2245.69,2247.28,2245.57,2245.91,1366951.3466710001,1145
2023-12-16 14:00:00+00:00,2245.91,2246.87,2245.01,2245.19,1281500.9994949999,1377
2023-12-16 14:05:00+00:00,2245.19,2247.05,2243.84,2246.78,961372.613706,1457
2023-12-16 14:10:00+00:00,2246.78,2248.92,2246.77,2247.82,1065232.257794,1314
2023-12-16 14:15:00+00:00,2247.82,2248.48,2245.47,2245.51,1025135.162261,1400
2023-12-16 14:20:00+00:00,2245.51,2246.59,2245.03,2246.58,620159.346197,1149
2023-12-16 14:25:00+00:00,2246.58,2246.77,2243.43,2244.35,784942.5382129999,1189
2023-12-16 14:30:00+00:00,2244.35,2245.24,2241.57,2242.5,1625785.000314,1628
2023-12-16 14:35:00+00:00,2242.5,2244.0,2242.15,2243.53,970266.30496,1430
2023-12-16 14:40:00+00:00,2243.53,2246.57,2243.52,2246.56,1021427.7405429999,1186
2023-12-16 14:45:00+00:00,2246.56,2247.04,2245.01,2245.01,664917.472721,1057
2023-12-16 14:50:00+00:00,2245.01,2247.34,2244.8,2246.93,813606.63893,1117
2023-12-16 14:55:00+00:00,2246.93,2247.94,2246.44,2247.85,1358066.174168,1017
2023-12-16 15:00:00+00:00,2247.85,2251.93,2247.34,2251.58,1794508.817275,1485
2023-12-16 15:05:00+00:00,2251.58,2253.24,2250.7,2250.7,967678.002574,1470
2023-12-16 15:10:00+00:00,2250.7,2250.71,2248.15,2248.49,1250224.4050130001,1280
2023-12-16 15:15:00+00:00,2248.49,2248.85,2245.43,2246.41,1032214.050575,1370
2023-12-16 15:20:00+00:00,2246.41,2249.23,2246.15,2246.66,1432557.7068269998,1391
2023-12-16 15:25:00+00:00,2246.66,2248.93,2246.65,2248.71,1008487.4235939999,1129
2023-12-16 15:30:00+00:00,2248.71,2255.2,2247.99,2254.92,1975163.795231,1556
2023-12-16 15:35:00+00:00,2254.92,2255.79,2252.65,2252.66,1980033.688968,1828
2023-12-16 15:40:00+00:00,2252.66,2253.48,2252.08,2252.83,912900.864332,1300
2023-12-16 15:45:00+00:00,2252.83,2255.65,2252.49,2253.64,2692647.125827,1849
2023-12-16 15:50:00+00:00,2253.64,2255.29,2253.58,2254.24,1044036.514642,1328
2023-12-16 15:55:00+00:00,2254.24,2257.64,2253.85,2256.74,1774614.3393140002,1736
2023-12-16 16:00:00+00:00,2256.74,2257.12,2254.25,2256.36,2559979.3954769997,1946
2023-12-16 16:05:00+00:00,2256.36,2256.36,2253.88,2253.89,1669706.739878,1259
2023-12-16 16:10:00+00:00,2253.89,2254.59,2251.79,2251.93,1732770.0464619999,1297
2023-12-16 16:15:00+00:00,2251.93,2254.15,2250.59,2254.14,1759036.927779,1627
2023-12-16 16:20:00+00:00,2254.14,2254.72,2253.23,2254.16,1965786.128011,1219
2023-12-16 16:25:00+00:00,2254.16,2255.4,2254.16,2255.28,1097921.066436,1118
2023-12-16 16:30:00+00:00,2255.28,2256.07,2252.98,2256.06,2192165.008872,1441
2023-12-16 16:35:00+00:00,2256.06,2258.05,2255.69,2257.69,2745615.927923,1677
2023-12-16 16:40:00+00:00,2257.69,2263.4,2257.69,2263.39,4284995.974967,3112
2023-12-16 16:45:00+00:00,2263.39,2263.4,2258.0,2258.52,2326908.45672,2189
2023-12-16 16:50:00+00:00,2258.52,2259.1,2255.57,2256.02,1975452.636357,1949
2023-12-16 16:55:00+00:00,2256.02,2256.02,2251.35,2253.12,1925196.301832,1958
